ingredient_id,ingredient_name,language,stage1_status,stage2_status,last_updated,notes
1107,Vodka (or gin),ENG,completed,pending,2025-08-20T19:22:50.615131,
1105,White peach purée (or peach nectar),ENG,completed,pending,2025-08-20T19:22:51.740940,
1109,"Chilled prosecco (or
champagne)",ENG,pending,skipped,2025-08-20T19:22:52.753333,No subcategories available
1108,Small fresh mint leaves,ENG,pending,skipped,2025-08-20T19:22:52.752426,No subcategories available
1105,White peach purée (or peach nectar),ENG,pending,skipped,2025-08-20T19:22:52.752611,No subcategories available
1106,Chilled guinnes,ENG,pending,completed,2025-08-20T19:22:56.225127,
1107,Vodka (or gin),ENG,pending,completed,2025-08-20T19:22:57.248173,
1113,"Mandarine napoléon liqueur (or
triple sec)",ENG,completed,pending,2025-08-20T19:23:03.086195,
1114,"Fresh strawberry, hulled",ENG,completed,pending,2025-08-20T19:23:03.614492,
1111,Chilled brut champagne,ENG,completed,pending,2025-08-20T19:23:03.995576,
1110,Absinthe (or pernod),ENG,completed,pending,2025-08-20T19:23:04.185500,
1112,Chilled dry champagne,ENG,completed,pending,2025-08-20T19:23:04.582929,
1112,Chilled dry champagne,ENG,pending,skipped,2025-08-20T19:23:05.594008,No subcategories available
1111,Chilled brut champagne,ENG,pending,skipped,2025-08-20T19:23:05.593734,No subcategories available
1114,"Fresh strawberry, hulled",ENG,pending,skipped,2025-08-20T19:23:05.598796,No subcategories available
1110,Absinthe (or pernod),ENG,pending,completed,2025-08-20T19:23:09.956169,
1113,"Mandarine napoléon liqueur (or
triple sec)",ENG,pending,completed,2025-08-20T19:23:10.474137,
1117,Good-quality rum,ENG,completed,pending,2025-08-20T19:23:16.397000,
1116,Rosso (sweet) vermouth,ENG,completed,pending,2025-08-20T19:23:16.972433,
1119,Pimm’s no. 1 4 to,ENG,completed,pending,2025-08-20T19:23:17.776727,
1118,Aged bacardi (8 years old),ENG,completed,pending,2025-08-20T19:23:17.924868,
1115,Peychaud’s bitters,ENG,completed,pending,2025-08-20T19:23:20.920947,
1116,Rosso (sweet) vermouth,ENG,pending,skipped,2025-08-20T19:23:21.927672,No subcategories available
1119,Pimm’s no. 1 4 to,ENG,pending,completed,2025-08-20T19:23:26.263427,
1115,Peychaud’s bitters,ENG,pending,completed,2025-08-20T19:23:26.273220,
1117,Good-quality rum,ENG,pending,completed,2025-08-20T19:23:27.657344,
1118,Aged bacardi (8 years old),ENG,pending,completed,2025-08-20T19:23:28.585678,
1124,Chilled club soda (optional),ENG,completed,pending,2025-08-20T19:23:34.111925,
1122,"Crème de mûre (blackberry
liqueur)",ENG,completed,pending,2025-08-20T19:23:34.548106,
1121,"Mandarine napoléon (or other
orange liqueur)",ENG,completed,pending,2025-08-20T19:23:34.936451,
1123,Orgeat (or almond) syrup,ENG,completed,pending,2025-08-20T19:23:34.944217,
1120,"Poire williams (or other pear
brandy)",ENG,completed,pending,2025-08-20T19:24:35.112880,
1124,Chilled club soda (optional),ENG,pending,skipped,2025-08-20T19:24:36.129019,No subcategories available
1123,Orgeat (or almond) syrup,ENG,pending,skipped,2025-08-20T19:24:36.129530,No subcategories available
1122,"Crème de mûre (blackberry
liqueur)",ENG,pending,completed,2025-08-20T19:24:39.855919,
1120,"Poire williams (or other pear
brandy)",ENG,pending,completed,2025-08-20T19:24:40.110608,
1121,"Mandarine napoléon (or other
orange liqueur)",ENG,pending,completed,2025-08-20T19:24:40.474308,
1126,"Chilled ginger ale or ginger
beer",ENG,completed,pending,2025-08-20T19:24:46.587145,
1128,Chilled tonic water,ENG,completed,pending,2025-08-20T19:24:46.834534,
1125,Chilled ginger beer,ENG,completed,pending,2025-08-20T19:24:46.993265,
1129,Dry red wine,ENG,completed,pending,2025-08-20T19:24:47.207259,
1127,Good-quality gin,ENG,completed,pending,2025-08-20T19:24:49.886216,
1129,Dry red wine,ENG,pending,skipped,2025-08-20T19:24:50.896915,No subcategories available
1127,Good-quality gin,ENG,pending,skipped,2025-08-20T19:24:50.896344,No subcategories available
1128,Chilled tonic water,ENG,pending,skipped,2025-08-20T19:24:50.899131,No subcategories available
1126,"Chilled ginger ale or ginger
beer",ENG,pending,completed,2025-08-20T19:24:56.647798,
1125,Chilled ginger beer,ENG,pending,completed,2025-08-20T19:24:56.714268,
1134,Noilly pratt dry vermouth,ENG,completed,pending,2025-08-20T19:25:02.480863,
1133,Chilled gin,ENG,completed,pending,2025-08-20T19:25:02.565175,
1132,Extra-dry vermouth,ENG,completed,pending,2025-08-20T19:25:03.132156,
1130,"Black sambuca (such as opal
nera)",ENG,completed,pending,2025-08-20T19:25:03.612529,
1131,Fresh key lime or other lime juice,ENG,completed,pending,2025-08-20T19:25:04.039575,
1131,Fresh key lime or other lime juice,ENG,pending,skipped,2025-08-20T19:25:05.049436,No subcategories available
1134,Noilly pratt dry vermouth,ENG,pending,skipped,2025-08-20T19:25:05.051208,No subcategories available
1133,Chilled gin,ENG,pending,skipped,2025-08-20T19:25:05.050618,No subcategories available
1132,Extra-dry vermouth,ENG,pending,skipped,2025-08-20T19:25:05.050736,No subcategories available
1130,"Black sambuca (such as opal
nera)",ENG,pending,completed,2025-08-20T19:25:09.380408,
1135,Or orange peel,ENG,completed,pending,2025-08-20T19:25:14.667003,
1136,Noilly prat dry vermouth,ENG,completed,pending,2025-08-20T19:25:15.389204,
1139,Egg white (optional),ENG,completed,pending,2025-08-20T19:25:15.450871,
1138,"Fresh pink (or regular)
grapefruit juice",ENG,completed,pending,2025-08-20T19:25:15.549413,
1137,"Angostura or peychaud’s
bitters",ENG,completed,pending,2025-08-20T19:25:19.072023,
1139,Egg white (optional),ENG,pending,skipped,2025-08-20T19:25:20.083229,No subcategories available
1136,Noilly prat dry vermouth,ENG,pending,skipped,2025-08-20T19:25:20.082924,No subcategories available
1135,Or orange peel,ENG,pending,skipped,2025-08-20T19:25:20.079986,No subcategories available
1138,"Fresh pink (or regular)
grapefruit juice",ENG,pending,skipped,2025-08-20T19:25:20.083123,No subcategories available
1137,"Angostura or peychaud’s
bitters",ENG,pending,completed,2025-08-20T19:25:23.987580,
1141,Tia maria (or other co,ENG,completed,pending,2025-08-20T19:25:29.573354,
1143,Kahlúa (or other co,ENG,completed,pending,2025-08-20T19:25:31.163397,
1140,Chilled white crème de cacao,ENG,completed,pending,2025-08-20T19:25:31.163932,
1142,Kahlúa or tia maria,ENG,completed,pending,2025-08-20T19:25:31.803104,
1144,Pimm’s no. 1,ENG,completed,pending,2025-08-20T19:25:32.795665,
1140,Chilled white crème de cacao,ENG,pending,completed,2025-08-20T19:25:37.426463,
1144,Pimm’s no. 1,ENG,pending,completed,2025-08-20T19:25:37.949591,
1141,Tia maria (or other co,ENG,pending,completed,2025-08-20T19:25:37.980221,
1143,Kahlúa (or other co,ENG,pending,completed,2025-08-20T19:25:38.135521,
1142,Kahlúa or tia maria,ENG,pending,completed,2025-08-20T19:25:39.349202,
1146,Demerera or spiced rum,ENG,completed,pending,2025-08-20T19:25:45.392119,
1147,Good-quality light rum,ENG,completed,pending,2025-08-20T19:25:45.587272,
1145,Bacardi light or gold rum,ENG,completed,pending,2025-08-20T19:25:45.803443,
1148,Cachaça (or light rum),ENG,completed,pending,2025-08-20T19:25:47.541450,
1149,Gold or dark rum,ENG,completed,pending,2025-08-20T19:25:47.904107,
1145,Bacardi light or gold rum,ENG,pending,completed,2025-08-20T19:25:52.559033,
1147,Good-quality light rum,ENG,pending,completed,2025-08-20T19:25:52.663391,
1146,Demerera or spiced rum,ENG,pending,completed,2025-08-20T19:25:53.077207,
1149,Gold or dark rum,ENG,pending,completed,2025-08-20T19:25:54.921133,
1148,Cachaça (or light rum),ENG,pending,completed,2025-08-20T19:25:57.164274,
1153,Ginger syrup or simple syrup,ENG,completed,pending,2025-08-20T19:26:03.156488,
1154,Fresh ginger (optional),ENG,completed,pending,2025-08-20T19:26:03.294700,
1152,Chilled cola,ENG,completed,pending,2025-08-20T19:26:03.381540,
1150,Sugar or turbinado sugar,ENG,completed,pending,2025-08-20T19:26:03.736893,
1151,Coconut sorbet or gelato,ENG,completed,pending,2025-08-20T19:26:05.195524,
1152,Chilled cola,ENG,pending,skipped,2025-08-20T19:26:06.207430,No subcategories available
1151,Coconut sorbet or gelato,ENG,pending,skipped,2025-08-20T19:26:06.207503,No subcategories available
1153,Ginger syrup or simple syrup,ENG,pending,skipped,2025-08-20T19:26:06.207141,No subcategories available
1150,Sugar or turbinado sugar,ENG,pending,skipped,2025-08-20T19:26:06.206031,No subcategories available
1154,Fresh ginger (optional),ENG,pending,skipped,2025-08-20T19:26:06.207809,No subcategories available
1155,"Seeded, cubed watermelon",ENG,completed,pending,2025-08-20T19:26:12.012039,
1157,Fresh or frozen raspberries,ENG,completed,pending,2025-08-20T19:26:12.137797,
1159,"Chilled ginger beer (or
ginger ale)",ENG,completed,pending,2025-08-20T19:26:12.862231,
1158,Lime wheel,ENG,completed,pending,2025-08-20T19:26:13.328062,
1156,"Banana, peeled and sliced",ENG,completed,pending,2025-08-20T19:26:14.269804,
1155,"Seeded, cubed watermelon",ENG,pending,skipped,2025-08-20T19:26:15.275352,No subcategories available
1157,Fresh or frozen raspberries,ENG,pending,skipped,2025-08-20T19:26:15.274973,No subcategories available
1158,Lime wheel,ENG,pending,skipped,2025-08-20T19:26:15.275506,No subcategories available
1156,"Banana, peeled and sliced",ENG,pending,skipped,2025-08-20T19:26:15.275598,No subcategories available
1159,"Chilled ginger beer (or
ginger ale)",ENG,pending,completed,2025-08-20T19:26:19.152685,
1162,"Myers’s dark or other dark
jamaican rum",ENG,completed,pending,2025-08-20T19:26:24.701307,
1163,"Martinique rhum vieux or other
aged rum",ENG,completed,pending,2025-08-20T19:26:25.385881,
1160,Tangerine (or orange),ENG,completed,pending,2025-08-20T19:26:25.473745,
1164,Orgeat or almond-flavored syrup,ENG,completed,pending,2025-08-20T19:26:26.038384,
1161,"Stolichnaya lemon vodka (or
other lemon-",ENG,completed,pending,2025-08-20T19:26:27.006580,
1164,Orgeat or almond-flavored syrup,ENG,pending,skipped,2025-08-20T19:26:28.018893,No subcategories available
1160,Tangerine (or orange),ENG,pending,skipped,2025-08-20T19:26:28.018441,No subcategories available
1162,"Myers’s dark or other dark
jamaican rum",ENG,pending,completed,2025-08-20T19:26:31.369946,
1163,"Martinique rhum vieux or other
aged rum",ENG,pending,completed,2025-08-20T19:26:32.273485,
1161,"Stolichnaya lemon vodka (or
other lemon-",ENG,pending,completed,2025-08-20T19:26:33.238215,
1168,Thinly sliced lime wheel,ENG,completed,pending,2025-08-20T19:26:39.458537,
1167,"Fresh mandarin (or tangerine)
juice",ENG,completed,pending,2025-08-20T19:26:40.124151,
1166,"Monin passion fruit syrup (or
other passion fruit syrup)",ENG,completed,pending,2025-08-20T19:26:40.597293,
1169,Gold or jamaican rum,ENG,completed,pending,2025-08-20T19:26:40.915827,
1165,Orange blossom (or tiny purple orchid),ENG,completed,pending,2025-08-20T19:26:40.934707,
1166,"Monin passion fruit syrup (or
other passion fruit syrup)",ENG,pending,skipped,2025-08-20T19:26:41.941475,No subcategories available
1167,"Fresh mandarin (or tangerine)
juice",ENG,pending,skipped,2025-08-20T19:26:41.941547,No subcategories available
1168,Thinly sliced lime wheel,ENG,pending,skipped,2025-08-20T19:26:41.941705,No subcategories available
1165,Orange blossom (or tiny purple orchid),ENG,pending,skipped,2025-08-20T19:26:41.941923,No subcategories available
1169,Gold or jamaican rum,ENG,pending,completed,2025-08-20T19:26:46.015432,
1171,Cachaça or light rum,ENG,completed,pending,2025-08-20T19:26:51.545746,
1174,"99 bananas liqueur (or
crème de banane)",ENG,completed,pending,2025-08-20T19:26:52.245176,
1170,Almond or orgeat syrup,ENG,completed,pending,2025-08-20T19:26:52.615877,
1173,Mango juice or nectar,ENG,completed,pending,2025-08-20T19:26:53.032533,
1172,"Pomegranate syrup (real
grenadine)",ENG,completed,pending,2025-08-20T19:26:53.816125,
1172,"Pomegranate syrup (real
grenadine)",ENG,pending,skipped,2025-08-20T19:26:54.829392,No subcategories available
1173,Mango juice or nectar,ENG,pending,skipped,2025-08-20T19:26:54.824319,No subcategories available
1170,Almond or orgeat syrup,ENG,pending,skipped,2025-08-20T19:26:54.827486,No subcategories available
1171,Cachaça or light rum,ENG,pending,completed,2025-08-20T19:26:58.304728,
1174,"99 bananas liqueur (or
crème de banane)",ENG,pending,completed,2025-08-20T19:26:58.823073,
1179,Malibu rum (or other coconut-,ENG,completed,pending,2025-08-20T19:27:04.446613,
1178,"Chocolate liqueur (such as
godiva)",ENG,completed,pending,2025-08-20T19:27:04.944114,
1175,"Vanilla-infused rum (see page
247)",ENG,completed,pending,2025-08-20T19:27:04.951827,
1177,"Spiced rum (such as captain
morgan)",ENG,completed,pending,2025-08-20T19:27:05.854241,
1176,Light or gold rum,ENG,completed,pending,2025-08-20T19:27:06.556170,
1179,Malibu rum (or other coconut-,ENG,pending,completed,2025-08-20T19:27:11.158489,
1177,"Spiced rum (such as captain
morgan)",ENG,pending,completed,2025-08-20T19:27:11.238140,
1178,"Chocolate liqueur (such as
godiva)",ENG,pending,completed,2025-08-20T19:27:11.729884,
1175,"Vanilla-infused rum (see page
247)",ENG,pending,completed,2025-08-20T19:27:12.691908,
1176,Light or gold rum,ENG,pending,completed,2025-08-20T19:27:13.043813,
1184,Triple sec or other orange liqueur,ENG,completed,pending,2025-08-20T19:27:18.371897,
1181,"Pernod (or other absinthe
substitute)",ENG,completed,pending,2025-08-20T19:27:19.192290,
1182,Gold (añejo) rum,ENG,completed,pending,2025-08-20T19:27:19.370496,
1183,"Pepper-infused tequila (see
page 71)",ENG,completed,pending,2025-08-20T19:27:19.548890,
1180,"Pineapple-infused rum (see
page 247)",ENG,completed,pending,2025-08-20T19:27:20.217996,
1183,"Pepper-infused tequila (see
page 71)",ENG,pending,skipped,2025-08-20T19:27:21.227517,No subcategories available
1184,Triple sec or other orange liqueur,ENG,pending,completed,2025-08-20T19:27:24.442700,
1181,"Pernod (or other absinthe
substitute)",ENG,pending,completed,2025-08-20T19:27:26.575334,
1180,"Pineapple-infused rum (see
page 247)",ENG,pending,completed,2025-08-20T19:27:26.669301,
1182,Gold (añejo) rum,ENG,pending,completed,2025-08-20T19:27:27.118734,
1186,"Garlic, finely minced",ENG,completed,pending,2025-08-20T19:27:32.298631,
1188,"Clove garlic,",ENG,completed,pending,2025-08-20T19:27:33.386368,
1185,"Washed, stemmed, halved orange
cherry tomatoes",ENG,completed,pending,2025-08-20T19:27:33.829129,
1187,Tomato or v8 juice,ENG,completed,pending,2025-08-20T19:27:34.366073,
1189,"Tabasco sauce or other hot
sauce",ENG,completed,pending,2025-08-20T19:28:34.865902,
1188,"Clove garlic,",ENG,pending,skipped,2025-08-20T19:28:35.871852,No subcategories available
1185,"Washed, stemmed, halved orange
cherry tomatoes",ENG,pending,skipped,2025-08-20T19:28:35.871955,No subcategories available
1189,"Tabasco sauce or other hot
sauce",ENG,pending,skipped,2025-08-20T19:28:35.872041,No subcategories available
1187,Tomato or v8 juice,ENG,pending,skipped,2025-08-20T19:28:35.872349,No subcategories available
1186,"Garlic, finely minced",ENG,pending,skipped,2025-08-20T19:28:35.872100,No subcategories available
1194,Good-quality reposado tequila,ENG,completed,pending,2025-08-20T19:28:41.565064,
1193,"Sliced, hulled fresh strawberries",ENG,completed,pending,2025-08-20T19:28:42.331634,
1190,Kahlúa (or tia maria),ENG,completed,pending,2025-08-20T19:28:42.431115,
1192,"Citrónge (or other orange
liqueur)",ENG,completed,pending,2025-08-20T19:28:42.818806,
1191,"Vanilla-infused tequila (see
page 71)",ENG,completed,pending,2025-08-20T19:28:44.400804,
1191,"Vanilla-infused tequila (see
page 71)",ENG,pending,skipped,2025-08-20T19:28:45.417328,No subcategories available
1193,"Sliced, hulled fresh strawberries",ENG,pending,skipped,2025-08-20T19:28:45.417969,No subcategories available
1190,Kahlúa (or tia maria),ENG,pending,completed,2025-08-20T19:28:49.263192,
1194,Good-quality reposado tequila,ENG,pending,completed,2025-08-20T19:28:50.571444,
1192,"Citrónge (or other orange
liqueur)",ENG,pending,completed,2025-08-20T19:28:50.717346,
1196,Small pink orchids (optional,ENG,completed,pending,2025-08-20T19:28:56.777390,
1198,Triple sec or cointreau,ENG,completed,pending,2025-08-20T19:28:57.128427,
1197,"Nectarine, pitted and sliced",ENG,completed,pending,2025-08-20T19:28:57.161887,
1199,"Maraschino cherry juice (from a
jar of cherries)",ENG,completed,pending,2025-08-20T19:28:59.117864,
1195,Thinly sliced english cucumber,ENG,completed,pending,2025-08-20T19:28:59.248635,
1195,Thinly sliced english cucumber,ENG,pending,skipped,2025-08-20T19:29:00.262181,No subcategories available
1199,"Maraschino cherry juice (from a
jar of cherries)",ENG,pending,skipped,2025-08-20T19:29:00.263309,No subcategories available
1197,"Nectarine, pitted and sliced",ENG,pending,skipped,2025-08-20T19:29:00.260010,No subcategories available
1196,Small pink orchids (optional,ENG,pending,skipped,2025-08-20T19:29:00.259880,No subcategories available
1198,Triple sec or cointreau,ENG,pending,completed,2025-08-20T19:29:04.050242,
1200,Grenadine (or chambord),ENG,completed,pending,2025-08-20T19:29:09.783865,
1201,Good-quality silver tequila,ENG,completed,pending,2025-08-20T19:29:11.113536,
1202,Vodka (regular or apple,ENG,completed,pending,2025-08-20T19:29:11.505222,
1204,"Horseradish (freshly grated, if
possible)",ENG,completed,pending,2025-08-20T19:29:11.549047,
1203,Apple purée (or apple juice),ENG,completed,pending,2025-08-20T19:29:12.070616,
1200,Grenadine (or chambord),ENG,pending,skipped,2025-08-20T19:29:13.080038,No subcategories available
1203,Apple purée (or apple juice),ENG,pending,skipped,2025-08-20T19:29:13.080387,No subcategories available
1204,"Horseradish (freshly grated, if
possible)",ENG,pending,skipped,2025-08-20T19:29:13.084004,No subcategories available
1201,Good-quality silver tequila,ENG,pending,completed,2025-08-20T19:29:18.146662,
1202,Vodka (regular or apple,ENG,pending,completed,2025-08-20T19:29:18.825571,
1207,"Wasabi (or prepared
horseradish)",ENG,completed,pending,2025-08-20T19:29:24.121638,
1205,Vodka (or pepper-flavored vodka),ENG,completed,pending,2025-08-20T19:29:24.529041,
1209,"Godiva chocolate liqueur (or
dark crème de cacao)",ENG,completed,pending,2025-08-20T19:29:24.570269,
1206,Chilled tomato juice,ENG,completed,pending,2025-08-20T19:29:25.181122,
1208,Vodka (or vanilla-flavored vodka),ENG,completed,pending,2025-08-20T19:29:25.638805,
1207,"Wasabi (or prepared
horseradish)",ENG,pending,skipped,2025-08-20T19:29:26.643403,No subcategories available
1206,Chilled tomato juice,ENG,pending,skipped,2025-08-20T19:29:26.652694,No subcategories available
1209,"Godiva chocolate liqueur (or
dark crème de cacao)",ENG,pending,completed,2025-08-20T19:29:31.183736,
1208,Vodka (or vanilla-flavored vodka),ENG,pending,completed,2025-08-20T19:29:31.490577,
1205,Vodka (or pepper-flavored vodka),ENG,pending,completed,2025-08-20T19:29:32.085677,
1211,Espresso or strong co,ENG,completed,pending,2025-08-20T19:29:37.944455,
1213,Grand marnier (or cointreau),ENG,completed,pending,2025-08-20T19:29:38.081951,
1212,"Sparkling tangerine or
orange beverage",ENG,completed,pending,2025-08-20T19:29:38.708765,
1214,Midori or other melon liqueur,ENG,completed,pending,2025-08-20T19:29:39.482220,
1210,Chilled 7-up,ENG,completed,pending,2025-08-20T19:29:42.456700,
1212,"Sparkling tangerine or
orange beverage",ENG,pending,skipped,2025-08-20T19:29:43.461461,No subcategories available
1211,Espresso or strong co,ENG,pending,skipped,2025-08-20T19:29:43.460837,No subcategories available
1210,Chilled 7-up,ENG,pending,skipped,2025-08-20T19:29:43.461168,No subcategories available
1213,Grand marnier (or cointreau),ENG,pending,completed,2025-08-20T19:29:47.056760,
